#1_tweetid	#2_tweet	#3_country_label	#4_province_label
TRAIN_30	mahrez vs Liverpool:كل ما فعله رياض محرز ضد ليفربول 27 02 2017 تعليق عربي:  URL 	Algeria	dz_Ouargla
TRAIN_31	لا تكثروا من ذكر الهموم فيصيبكم الهم و تكونوا من القانطين و أكثروا من ذكر النعم فتصيبكم السكينة و الطمأنينة وتصبحوا من الشاكرين	Egypt	eg_Qena
TRAIN_32	اللهم اجعل القرآن العظيم ربيع قلوبنا، ونور صدورنا، وجلاء أحزاننا، وذهاب غمومنا و.. شاهد:  URL  #غرد_بذكر_الله #دعاء_لربي	Mauritania	mr_Nouakchott
TRAIN_33	الله يفرج عليك	Algeria	dz_Biskra
TRAIN_34	ألم يأن للذين آمنوا أن تخشع قلوبهم لذكر اللـه وما نزل من الحق ولا يكونوا كالذين أوتوا الكتاب من قبل فطال عليهم الأمد فقست قلوبهم #Quran	Egypt	eg_Ismailia
TRAIN_35	"""\""وللكلماتِ يدٌ حَنونةٌ أَيضاً.\"""""	Syria	sy_Hama
TRAIN_36	لم يكن هناك هوية سياسية يمنية قبل هذا التاريخ. فسياسيا تيمنن الشمال بعد خروج الخلافة العثمانية. وجنوبا بعد خروج بريطانيا. لكن الهوية الحضارية التاريخية فهي يمنية دون جدال.. والا ماذا نقول عن حمير قبل غيرها؟ متفقين اظن الى هنا.. يتبع...	Yemen	ye_Aden
TRAIN_37	دَع إبتسَامتكَ أولْ مَلامحكَ ؛ فهي لكَ صِحَة ، وَفِي الدِينْ صَدقة ، وَفِي ﺎلقَلبْ بَهاء	Egypt	eg_Qena
TRAIN_38	- استغفر الله حتى يُغفر الذنب حتى تسعد النفس حتى تطيب لنا الحياة	Egypt	eg_Monufia
TRAIN_39	شكرا لك ساقوم بالاطلاع عليه ( اتمنى ان يكون من مصدر رسمي)	Algeria	dz_Bouira
TRAIN_40	لا استغفر الله	Egypt	eg_Aswan
TRAIN_41	وإنتي بخير حبيبتي امل	Kuwait	kw_Jahra
TRAIN_42	اذا وجدت غباراً على مصحفك ف إبكي على نَفسك فمن ترك قراءة القرآن ♡ ثلاثة أيام منْ غير عذر - سُميّ هاجراً !	Libya	ly_Al-Butnan
TRAIN_43	العاقل هو الذي يتكيف مع واقعه كيفما كان مادام لا يستطيع التغيير - محمد العريفي	Tunisia	tn_Bizerte
TRAIN_44	تدور الحياة ثم يصاب كل ظالم بما ظلم كل شامت بما شمت كل مسئ بما أساء به	Egypt	eg_Suez
TRAIN_45	تتشرف مدينه النجف الاشرف باستقبال الزوار على مدار السنه	Iraq	iq_An-Najaf
TRAIN_46	ان الأمور التى نلاحظها ظاهريا عاده ما تكون انطباعات زائفه لا تعبر عما مر به الآخرين من تجارب	Egypt	eg_South-Sinai
TRAIN_47	- ﴿وَاتَّقوا يَومًا تُرجَعونَ فيهِ إِلَى اللَّهِ ثُمَّ تُوَفّى كُلُّ نَفسٍ ما كَسَبَت وَهُم لا يُظلَمونَ﴾ [البقرة: ٢٨١] * هذه الآية آخر ما نزلَ من القرآن (). #زوادة_رمضان	Syria	sy_Hims
TRAIN_48	وجه جديد من أوجه تجارة الموت في #موريتانيا، إنها #تزويرـالأدوية   URL / …	Mauritania	mr_Nouakchott
TRAIN_49	الحنين هو اختصاص الذاكرة في تجميل ما احتجب من المشهد، وترميم شباك سقط دون أن يصل سقوطه إلى الشارع	Iraq	iq_Al-Anbar
TRAIN_50	- لا تجادلني في شخص تراه بعينک وأراه بقلبي . -	Egypt	eg_Dakahlia
TRAIN_51	(وإن الذين لا يؤمنون بالآخرة عن الصراط لناكبون) [المؤمنون:74]  URL 	Yemen	ye_Aden
TRAIN_52	#كيف_مزاجك_اليوم عندما تكون قريباً من الله كثير الاستغفار تجد نفسك أقرب مايكون إلى الفطرة.	Saudi_Arabia	sa_Makkah
TRAIN_53	الحرية و الحزب الدستوري خطان متوزيان... URL  …	Tunisia	tn_Bizerte
TRAIN_54	ازمه كل يوم  URL  …	Egypt	eg_Minya
TRAIN_55	أحد شهداء عوفر قب قليل #بلدي_فلسطين  URL 	Palestine	ps_Gaza-Strip
TRAIN_56	-Etienne GHYS أحد أهم علماء الرياضيات في العالم في عصرنا هذا، والذي سيُلقي محاضرة يوم الإثنين المقبل عن الشكل الهندسي لكرة القدم brazuca والتي لُعبت في كأس العالم 2014 بالبرازيل. URL 	Mauritania	mr_Nouakchott
TRAIN_57	احسنتي بارك الله فيك	Iraq	iq_Al-Anbar
TRAIN_58	جماعي وجمعتك طيبة ..	Libya	ly_Darnah
TRAIN_59	لا إله إلا أنت سبحانك إني كنت من الظالمين  URL 	Lebanon	lb_North-Lebanon
TRAIN_60	اللهم إني أعوذ بك من شر ماعملت، ومن شر ما لم أعمل  URL 	Mauritania	mr_Nouakchott
TRAIN_61	نفتخر فيك يا بطل  URL  …	Qatar	qa_Ar-Rayyan
TRAIN_62	"""من أجل النجاح الفعلى أسأل نفسك التالى لماذا ؟ لم لا ؟ لم لا أكون أنا ؟ لم ليس الآن ؟\"""""	Egypt	eg_Faiyum
TRAIN_63	اللهم يامنان يا كاشف الضر اكشف ضر اخي عبدالله واشفه شفاء من عندك شفاء لا يغادر سقما.. اللهم انا نستودعك عبدالله… —  URL 	Qatar	qa_Ar-Rayyan
TRAIN_64	#علمتني_هبة جزء من يومي أستمتع بقضائه في #القراءة .. سأستمر في المحاولة حتى أقرأ بطلاقة لنحاول جميعاً مهما كانت اختلافاتنا  URL 	Saudi_Arabia	sa_Makkah
TRAIN_65	كلام كبير في الصميم لاكن من يفهم	Libya	ly_Al-Jabal-al-Akhdar
TRAIN_66	اللهُم إن ضعفت قوني ، وإن تعبت أرحني و إن ضقت أسعدني.	Kuwait	kw_Hawalli
TRAIN_67	اللهم إني أسألك الجنة وأعوذ بك من النار  URL 	Saudi_Arabia	sa_Al-Quassim
TRAIN_68	 USER  مقال جميل وطويل ..اين ريال مدريد من التوازن بين المال والجودة وهو باع هكواين واختفظ ببنزيما الكسول ؟	Iraq	iq_Baghdad
TRAIN_69	كل توفيق ونجاح لكم	Iraq	iq_Baghdad
TRAIN_70	بِ الابتسَامه : تتغَير الحَياة !! #حقيقة	Saudi_Arabia	sa_Al-Quassim
TRAIN_71	لي سنين أطلب وصالك والزمان معاند (ن)بي ... صرت مدرك عالمهالك واللقاء راح وغدر بي ... جوابي يلاقي سؤالك بخطوتي ضيعت دربي...	United_Arab_Emirates	ae_Dubai
TRAIN_72	و يموت حب لنقابل عشقا	Egypt	eg_Aswan
TRAIN_73	لقد نشرت صورة جديدة علي فيسبوك  URL 	Syria	sy_Hama
TRAIN_74	وادي حضرموت في لقاء مع الزعيم القائد حسن باعوم   URL  	Yemen	ye_Aden
TRAIN_75	التحدث عن الذكريات مع الأصدقاء أو عن حدث مع شخص تعرفه. أما إذا كنت فى حفلة فالمضيفة من الممكن أن تكون هى محور كلامك. لا يشترط تحدثك بكثرة حتى تبدو لطيفاً, التوجه بالنظر دائماً إلى الشخص الذى يتحدث من خلال توجيه بعض الأسئلة عن الموضوع الذى يدور أمامك حتى تساعد على بقائه أطول فترة	Iraq	iq_Basra
TRAIN_76	"""قال صلى الله عليه وسلم: \""من قرأ سورة الكهف في يوم_الجمعة أضاء له من النور مابين الجمعتين\"" سورةالكهف في صفحة واحدة  URL """	Kuwait	kw_Hawalli
TRAIN_77	اللهم لا تكلني إلى نفسي طرفة عين ، ولا تنزع مني صالح ما أعطيتني #دعاء	Saudi_Arabia	sa_Ha'il
TRAIN_78	حديثهم شي وحقيقتهم شي اخر.	Iraq	iq_Wasit
TRAIN_79	لا تحصر سعادتك على لا شيء لأنك قد تبتلى فيه.	Tunisia	tn_Sfax
TRAIN_80	"""العاهر الأمريكي \""دونالد ترامب\"" يعلن ويعترف بأن مدينة #القدس الفلسطينية عاصمة لدولة الإحتلال الإسرائيلي ! لولا جُبن الدول العربية والإسلامية لما أستطاع عاهر كهذا بأن يتحكم بهم كشطرنح . ويتحكم بهم كإنه في سرك يحركم كما شاء ويتراقصون تحت أقدامه وأقدام إبنته ! URL """	Iraq	iq_Al-Anbar
TRAIN_81	صنعت الدنيا للذين يحبون , أما اللذين لا يحبون وإن أبصرهم الناس فهم ميتون ميتون	Morocco	ma_Tanger-Tetouan
TRAIN_82	إذا كان يوم الجمعة كان على كل باب من أبواب المسجد ملائكة يكتبون الأول فالأول -- صحيح مسلم #Hadith	Oman	om_Ash-Sharqiyah
TRAIN_83	بدل ان يكرم المتبرع يتم استيفاء منه ثمن تبرعه .. أصدر وزير الصحة العراقي بدفع خمسة الاف دينار لكل متبرع بقنينة دم ! نحن اول دولة في العالم تفعل ذلك !!!!	Iraq	iq_Arbil
TRAIN_84	الذكر عند الدخول المنزل:بسم الله ولجنا وبسم الله خرجنا وعلى ربنا توكلنا ثم ليسلم على أهله  URL 	Saudi_Arabia	sa_Najran
TRAIN_85	انطلاق عملية التصويت لانتخاب رئيس مجلس نواب الشعب	Tunisia	tn_Ariana
TRAIN_86	"""يقول الرسول ﷺ \""انا في روضتي حي ، أسمع كل من صلي علي |صلي عليه .\"""""	Palestine	ps_Gaza-Strip
TRAIN_87	كلام جميل يابو حزام الثقه بالذات والتصالح معها هو مركز السعاده	Syria	sy_As-Suwayda
TRAIN_88	الكنام: متى سيتم الرفع في سقف استرجاع المصاريف  URL …	Tunisia	tn_Sfax
TRAIN_89	إنَّ العيون لها بوحٌ ورقرقةٌ .. أسمى وأفصحُ مما قيل أو كُتبا	Sudan	sd_Khartoum
TRAIN_90	{ولقد آتينا لقمان الحكمة أن اشكر لله ومن يشكر فإنما يشكر لنفسه ومن كفر فإن الله غني حميد} [لقمان:12]  URL  …	Morocco	ma_Marrakech-Tensift-Al-Haouz
TRAIN_91	فهمتك. يعني ما اصبح ظاهرة وحضور في الملتقيات الفنية العامة.	Palestine	ps_West-Bank
TRAIN_92	لعقوبة لي صفحات من يسمون روحهم احرار و ناشري الوعي	Algeria	dz_Bouira
TRAIN_93	يـا صبرَ ايوب مــاذا انـتَ فـاعـلـهُ ؟ إن كانَ خصمُكَ لا خوفٌ ولاخـجلُ! ولا حياءٌ ، ولا ماءٌ ، ولا سِمةٌ فــي.. وجــههِ وهـو لا يقضـي ، ولا يـكـلُ	Iraq	iq_Al-Muthannia
TRAIN_94	(( يَا أَيَّتُهَا النَّفْسُ الْمُطْمَئِنَّةُ ارْجِعِي إِلَى رَبِّكِ رَاضِيَةً مَّرْضِيَّة فَادْخُلِي فِي عِبَادِي...  URL 	Morocco	ma_Meknes-Tafilalet
TRAIN_95	عن أبي هريرة - رضي الله عنه - أن رسول الله قال: { تعرض الأعمال يوم الإثنين والخميس فأحب أن يعرض عملي وأنا صائم) رواه الترمذي وقال حديث حسن .	Morocco	ma_Meknes-Tafilalet
TRAIN_96	توم هاردي مثل لشركة D.C ولعب دور bane في فلم باتمان dark knight rises ،،،ومثل لشركة marvel ولعب دور venom	Iraq	iq_Kirkuk
TRAIN_97	"""\""يا عزيزي، سيدنا عُمر بن الخطاب كان يقول: اعتزل ما يؤذيك. ولم يَقل: تحمله!\"""""	Oman	om_Musandam
TRAIN_98	تقديري لك أستاذي تسلم	United_Arab_Emirates	ae_Dubai
TRAIN_99	نتبع الشيخ فركوس حفظه الله الله لكن لا نتعصب له فالعالم يصيب ويخطأ وهذا الذي ادين الله به فالشيخ فركوس والشيخ عبد المجيد جمعة والشيخ لزهر سنيقرة علمائنا في الجزائر ولا نتعصب لواحد منهم وهذا الذي يعتقده جميع السلفيين	Algeria	dz_Bouira
TRAIN_100	 USER  اليقيّن‌إن‌العُمر‌معكِ‌ألطف‌من‌الورد. URL 	Iraq	iq_Wasit
TRAIN_101	بالروح بالدم نفديك يا اقصي	Oman	om_Ad-Dakhiliyah
TRAIN_102	و أيضاً للحنين فعلٌ كالمجزرة ...	Syria	sy_Lattakia
TRAIN_103	"""\""لا يوجد أحد على وجه الأرض بمقدوره أن يجعلك تشعر بأنك أقل منه بدون إذنك الشخصي\"" هل تفهم الامر؟ :)"""	Tunisia	tn_Sfax
TRAIN_104	(وهو الذي أحياكم ثم يميتكم ثم يحييكم إن الإنسان لكفور) [الحج:66]  URL  #تاملات_ايمانية #تطبيق_تاملات_ايمانية	Syria	sy_Damascus-City
TRAIN_105	جهل و عبث	Algeria	dz_Ouargla
TRAIN_106	ما هو الشيء الوحيد الذي لا يعرفه أكثر الناس عنك ؟ — انا URL  …	Egypt	eg_Monufia
TRAIN_107	 USER  انتي الجمال كله	United_Arab_Emirates	ae_Dubai
TRAIN_108	المليشات دائما منتصرون علي صفحات الفيس بوك و نحن منتصرون على أرض الواقع.	Libya	ly_Al-Jabal-al-Akhdar
TRAIN_109	زعيم المثليين لا يوجد لدية الا النباح بصوت عالي وعند الاقتراب منه يهرب وحريمة لجهلها تضنة زئير اسد	Saudi_Arabia	sa_Al-Quassim
TRAIN_110	4| رمضان: جاهِد حتى تخرُج من شهرِ رمضان بغير القلب الذي دخلت به.	Kuwait	kw_Jahra
TRAIN_111	الدوري الانجليزي : ليفربول × نيوكاسل 5:00م بي ان HD2 علي محمد علي.	Kuwait	kw_Hawalli
TRAIN_112	اللهم النصيب الجميل من كل شيء، اللهم ما بالقلب وطال الدعاء به، اللهم جبراً واستجابة ومغفرة ومرضاة، وإنك لسميعُ الدعاء.	Kuwait	kw_Jahra
TRAIN_113	الأمم المتحدة تدعو الجميع للوقوف ضد المسلحين الذين يتسللون بين المتظاهرين السلميين  URL  …	Iraq	iq_Arbil
TRAIN_114	اجمل احساس عند ذكر من تصبوا اليه القلوب اثناء الدعاء..	Iraq	iq_Al-Muthannia
TRAIN_115	"""لنفسك عليك حق .. وأهمها أن تهجر كل من لا يعرف قيمتها .\"" قل وداعاً  حين تشعر أن المكان لم يعد مكانك لاتجعل أول إهتماماتك بمن جعلك أخرها لا تشدَّ على يدِ من أرادَ الرحيل لاتجعل…   URL  …"""	United_Arab_Emirates	ae_Ras-Al-Khaymah
TRAIN_116	الطاقة الإنتاجية تأتي في اكتشاف الغباء ونقط الضعف	Morocco	ma_Souss-Massa-Draa
TRAIN_117	دعاء دخول المسجد:بسم الله والصلاة والسلام على رسول الله اللهم افتح لي أبواب رحمتك  URL 	Palestine	ps_West-Bank
TRAIN_118	مبروك الله يوفقك كم نزداد فخراً كلما سمعنا متخرج بشهادة مميزه	Syria	sy_As-Suwayda
TRAIN_119	إني اضحك الان	Tunisia	tn_Mahdia
TRAIN_120	الصمت أفضل من النقاش مع شخص تُدرك جيداً أنه سيتخذ من الإختلاف معك حَرباً لا محاولة فهم ..	Algeria	dz_El-Oued
TRAIN_121	الأسود تزئر في عدن  URL  …	Yemen	ye_Aden
TRAIN_122	فضحت نفسك بنفسك URL  …	Egypt	eg_North-Sinai
TRAIN_123	ربما ... وربما تكون الرؤية ضبابية !	Iraq	iq_Kirkuk
TRAIN_124	اوصف/ي حالتك النفسية بكلمة ! — نعمه  URL  …	Libya	ly_Tripoli
TRAIN_125	#موريتانيا.. مجلس الوزراء يجري تعيينات في أربع وزارات  URL  موريتانيا-مجلس-الوزراء-يجري-تعيينات-ف-5/	Mauritania	mr_Nouakchott
TRAIN_126	ببغداد اربيل ودهوك والمواصفات موجودة باللنك المرفق بالخبر الأصلي	Iraq	iq_Babil
TRAIN_127	#فطوركم_شوط_ولا_شوطين 90 دقيقة وبعض الأحيان توصل لركلات الجزاء	Bahrain	bh_Capital
TRAIN_128	يوماً ما ستصل إلى النضج الذي يجعلك ترفض التورط بعلاقة مؤقته أو صداقة باردة أو جدال أحمق أو التعمق بالزائفين.	Egypt	eg_Alexandria
TRAIN_129	~` إذا ضمن أحدهم قلبك، سيضمن مغفرتك، وإذا ضمن مغفرتك.. سيؤذيك بلا رحمة.	Jordan	jo_Aqaba
TRAIN_130	يعلمون احوالنا و يعجزون حتى عن سؤالنا ! . . . . . . . . اللهم سخر لنا عبادك الصالحين	Algeria	dz_Oran
TRAIN_131	صراعك مع الحياة ضرورة والصراع الأوجب صراعك لنفسك. #ابن_عايض صالح   URL  …	Saudi_Arabia	sa_Najran
TRAIN_132	الإيمان أساسه الصدق ، والنفاق أساسه الكذب ، فلا يجتمع كذب وإيمان إلا وأحدهما محارب للآخر ابن القيم	Saudi_Arabia	sa_Asir
TRAIN_133	#ادعوه_لقبول_التحدي ، جنة كرة القدم ، تعتبر تحدي لإبراز قيمتك كلاعب ، ليس مسرحية الليغا ، هنا ايطاليا التكتيك ونيرانزوري جاهز  USER 	Djibouti	dj_Djibouti
TRAIN_134	لا حول ولا قوة الا بالله URL  …	Egypt	eg_Ismailia
TRAIN_135	هل الحب موجود ؟ أم إنها مجرد خرافة !	Oman	om_Musandam
TRAIN_136	اتقوا الظلم فإن الظلم ظلمات يوم القيامة واتقوا الشُح فإن الشُح أهلك من كان قبلكم حملهم على أن سفكوا دماءهم واستحلوا محارمهم #Hadith #ﷺ	United_Arab_Emirates	ae_Abu-Dhabi
TRAIN_137	حتى وقاحة التنظيم تهدد الحرم الجامعي .   URL  …	Palestine	ps_Gaza-Strip
TRAIN_138	التوقيع على التوقع ------------------- بعد إعلان كل المراصد الجوية العالمية عن اقتراب سقوط الأمطار مهمة بالمغرب...  URL 	Morocco	ma_Meknes-Tafilalet
TRAIN_139	"""\"".. ألم آتِكم ضُلَّالًا فهداكمُ الله؟ ومتَفَرِّقينَ فألَّفكُمُ اللهُ بي؟ وعالةَ فأغناكمُ اللهُ بي؟\"". قالوا: بلِ اللهُ ورسولُهُ أمَنُّ وأفضل. URL """	Egypt	eg_Kafr-el-Sheikh
TRAIN_140	اهم استعداداتى الثوره مع اى مسلسل على نيتفلكس وفضل ونعمه الحمد لله  URL 	Egypt	eg_Asyut
TRAIN_141	لعنه آموونعليكم جميعاً وتباً لكم بحق هُبل — اجمعين  URL  …	Iraq	iq_Babil
TRAIN_142	فمن اﻷسهل لتحويل الجبل إلى غبار بدﻻ من خلق الحب في قلب مليء الكراهية ..... ( اﻷمام علي ع )	Iraq	iq_Al-Anbar
TRAIN_143	"""\"" يبقى الصبي ابنك حتى زواجه، وتبقى الفتاة ابنتك حتى عتبة قبرك \"" URL """	Syria	sy_As-Suwayda
TRAIN_144	فيديو يستحق المشاهدة اكتر من مرة، التلقين عبر المناهج التعليميه التقليدية ليست دائما هي المفتاح	Morocco	ma_Souss-Massa-Draa
TRAIN_145	إنشاء الله يرحل بالسيسي و جماعتو  URL  …	Tunisia	tn_Bizerte
TRAIN_146	#سف_ع_الزمالك_بفولوررز كالعاده يا ساده الاهلى هو مصدر السعاده	Egypt	eg_Asyut
TRAIN_147	عملا بالمثل القائل .الطريق الى قلب الرجل معدته	Libya	ly_Tripoli
TRAIN_148	مشاركة الملفات مع الأجهزة القريبة من بعضها البعض  URL 	Syria	sy_Damascus-City
TRAIN_149	معناها احتماليه وجود عوالم اخرى قد تعبر ال98% .. هذا فقط ما يستطيع الانسان ادراكه .. وهو سبب كافي جدا للوجود...  URL 	Iraq	iq_Karbala
TRAIN_150	حفل توزيع جوائز الموسم الرياضي 2018/17 في جمهورية جيبوتي URL  …	Djibouti	dj_Djibouti
TRAIN_151	وتقع وتقوم وتقوم وتقع	Egypt	eg_Suez
TRAIN_152	اللهم صلّ وسلم وبارك علي سيدنا محمد وآله	Egypt	eg_North-Sinai
TRAIN_153	"""RT  USER : عندما يبوح لك شخص فاستمع اليه جيدا فهو اختارك أنت من بينهم جميعا :)\"""""	Saudi_Arabia	sa_Ash-Sharqiyah
TRAIN_154	يخاطبني السفيه بكل قبح ..... فأكره أن أكون له مجيبا يزيد سفاهة فأزيد حلما ..... كعود زاده الإحراق طيبا #الإمام_الشافعي	Libya	ly_Darnah
TRAIN_155	الوقت الذي كنت اشقى به وبعد زمن ادركت أنه الذي نورني وجعل مني كائن ارقى، للحياة ثمن. #فلسفة #تدريب #مستشار_القادة URL 	Saudi_Arabia	sa_Najran
TRAIN_156	وقد خَجِلَ الشِّعرُ مِن جَمالها مالها ومال الجمال الا بها وكأن الكون خُلِق لوصفها اسرت بالجمال من احبها ومن لم احبت تمنى قربها جمالٌ أعجز الرسام عن رسمها..	Oman	om_Ash-Sharqiyah
TRAIN_157	من معرض فني للزميل أحمد الوعري في كلية الهندسة المدنية في جامعة البعث  USER  البعث، مدينة حمص  URL 	Syria	sy_Lattakia
TRAIN_158	سقف منزل رائع في ألمانيا مصمم بحيث يمكن المشي عليه. -  URL 	Saudi_Arabia	sa_Tabuk
TRAIN_159	بسم الله الرحمن الرحيم صلى الله عليه وعلى آله وسلم	Somalia	so_Banaadir
TRAIN_160	الغباء نفسه اشتكى =D  URL 	Palestine	ps_Gaza-Strip
TRAIN_161	في الهادئين أشياء لا تهدأ..	Tunisia	tn_Bizerte
TRAIN_162	من الأدب أن لا تسأل أحداً عن شيء يخفيه عنك فإن لم يكن ظاهراً لك فهو غالباً لا يخصك.	Algeria	dz_Khenchela
TRAIN_163	اللهم البقاء لأبي ، وصوت أٌبي ، ورائحه أٌبي ، وحديث أٌبي، اللهم البقاء طويلاً	Egypt	eg_North-Sinai
TRAIN_164	اللهم صل علي سيدنا محمد بن عبدالله ماضاقت الا وفرجها الله	Egypt	eg_Red-Sea
TRAIN_165	مقتل شخص من جبل محسن بعد اصابته برصاصة في رأسه في شارع المهاجرين Sent from my Android	Lebanon	lb_North-Lebanon
TRAIN_166	الله يرزقنا بر الوالدين	Oman	om_Ad-Dhahirah
TRAIN_167	الجيوب الفارغة لم تمنع أحداً من إدراك النجاح؛ بل العقول الفارغه والقلوب الخاوية هي التي تفعل ذلك صباح الخير	Algeria	dz_Bouira
TRAIN_168	#الامارات في عميق الروح أسمع لك رفيف صاحبه نبض الفؤاد ودقته يا وطن الأمجاد ما لك من وصيف في علو المجد تلقى بصمته URL 	United_Arab_Emirates	ae_Dubai
TRAIN_169	الحياة :فترة الحب :مرة الدنيا :لا شئ العمر :واحد الحبيب :واحد ... ... الجمال :مظهر كذاب الجوهر :أهم من الجمال...  URL 	Egypt	eg_Suez
TRAIN_170	القلب الذي يتحمل كثيراً حين يتغير لن يعود كما كان أبداً.	United_Arab_Emirates	ae_Abu-Dhabi
TRAIN_171	ممكن ترجمة للرد أعلاه	Oman	om_Dhofar
TRAIN_172	السلام عليكم ورحمة الله وبركاته	Somalia	so_Banaadir
TRAIN_173	تـحـدي بـيـن مـدافـعـي الـفـريـقـيـن . من سيفوز ؟ بويول = لايـــــك بيبي = كومنـت  URL 	Egypt	eg_Monufia
TRAIN_174	برافووووو الخاين لا يُسامَح ابداً	Lebanon	lb_Akkar
TRAIN_175	"""- You are here because the outside world rejects yoy .. \"" أنت هُنا لأن الخارج قد رفضك \"" - داخل مصحّه نفسيّه مهجوره ..! URL """	Egypt	eg_Minya
TRAIN_176	لأول مره توثيق قيام قردة البونوبو بتصنيع أدوات بدائية واستخدام الرماح كأسلحة هجومية   URL … #science #Evolution	Jordan	jo_Zarqa
TRAIN_177	الي النهائي يا رجال	Egypt	eg_Suez
TRAIN_178	أعجبني فيديو  USER  على  URL   ما حقيقة ما قالته نجوى كرم عن علم مصر؟	Iraq	iq_Arbil
TRAIN_179	(اللَّهُمَّ إِنِّي أعوذُ بِكَ من زَوَالِ نِعْمَتِكَ وتحوُّلِ عافيتكَ وفُجَأَةِ نِقْمَتِكَ وَجَمِيعِ سَخَطِكَ)  URL 	Egypt	eg_Suez
TRAIN_180	كل جماليات الحياة حولك لا تساوي شيئاً مالم تكن نظرتك لها جميلة.	Algeria	dz_El-Oued
